取引日,取引先,登録番号,勘定科目,税率,税額,金額
2026-03-28,新夏見店,,,10,1495,16455
2026-03-28,東武ストア 新船橋店,T4011401004551,,8,23,322
2026-03-28,新夏見店,,,10,1495,16455
2026-03-28,東武ストア 新船橋店,T4011401004551,,8,23,322
2026-03-28,新夏見店,,,10,1495,16455
2026-03-28,新夏見店,,,10,1495,16455
2026-03-28,新夏見店,,,10,1495,16455
2026-03-28,新夏見店,,,10,1495,16455
2026-03-28,東武ストア 新船橋店,T4011401004551,,8,23,322
2026-03-28,東武ストア 新船橋店,T4011401004551,,8,23,322
2026-03-28,東武ストア 新船橋店,T4011401004551,,8,23,322
2026-03-14,行田商店街107号,T8011801023610,,8,104,1410
2026-03-14,行田商店街107号,T8011801023610,,8,104,1410
2026-03-14,行田商店街107号,T8011801023610,,8,104,1410
2026-03-14,行田商店街107号,T8011801023610,,8,104,1410
2026-03-14,行田商店街107号,T8011801023610,,8,104,1410
2026-03-14,行田商店街107号,T8011801023610,,8,104,1410
2026-03-29,本日はご来店ありがとうこざいます. 石窯パン工房店,T1404000101966,,8,87,1186
2026-03-29,本日はご来店ありがとうこざいます. 石窯パン工房店,T1404000101966,,8,87,1186
2026-03-29,本日はご来店ありがとうこざいます. 石窯パン工房店,T1404000101966,,8,87,1186
2026-03-29,本日はご来店ありがとうこざいます. 石窯パン工房店,T1404000101966,,8,87,1186
